city,utc_adjust
Seoul,9
waypoint,lon,lat
Osan_Air_Base,127.029641,37.090216
transit,127.03161577106769,37.098671784237766
transit,127.03359098110742,37.10712752349574
transit,127.03556663034959,37.11558321775572
transit,127.0375427190247,37.12403886699943
transit,127.0395192473634,37.13249447120862
transit,127.0414962155965,37.14095003036505
transit,127.0434736239549,37.149405544450424
transit,127.04545147266968,37.15786101344646
transit,127.04742976197205,37.166316437334864
transit,127.04940849209335,37.174771816097355
transit,127.05138766326506,37.183227149715606
transit,127.05336727571878,37.191682438171306
transit,127.0553473296863,37.200137681446115
transit,127.0573278253995,37.20859287952169
transit,127.05930876309041,37.21704803237971
transit,127.06129014299123,37.22550314000179
transit,127.06327196533424,37.23395820236958
transit,127.0652542303519,37.242413219464694
transit,127.06723693827682,37.250868191268744
transit,127.06922008934171,37.259323117763344
transit,127.07120368377944,37.267777998930086
transit,127.07318772182305,37.27623283475055
transit,127.07517220370565,37.28468762520632
transit,127.07715712966055,37.29314237027896
transit,127.07914249992118,37.30159706995002
transit,127.08112831472108,37.31005172420105
transit,127.083114574294,37.31850633301361
transit,127.08510127887378,37.326960896369194
transit,127.08708842869439,37.33541541424934
transit,127.08907602398997,37.34386988663557
transit,127.09106406499478,37.35232431350934
transit,127.09305255194326,37.3607786948522
transit,127.09504148506994,37.36923303064559
transit,127.09703086460951,37.377687320871
transit,127.0990206907968,37.38614156550987
transit,127.10101096386681,37.394595764543666
transit,127.10300168405463,37.40304991795383
transit,127.10499285159554,37.4115040257218
transit,127.10698446672491,37.419958087828995
transit,127.1089765296783,37.42841210425683
transit,127.11096904069139,37.436866074986696
Seoul_Air_Base,127.112962,37.44532
transit,127.11407498046337,37.45295479173879
transit,127.11518818720195,37.46058956310631
transit,127.11630162032382,37.46822431409691
transit,127.11741527993712,37.47585904470489
transit,127.11852916615004,37.48349375492461
transit,127.11964327907083,37.491128444750345
transit,127.12075761880781,37.49876311417644
transit,127.12187218546937,37.506397763197214
transit,127.12298697916394,37.514032391806964
WP3,127.124102,37.521667
transit,127.12526711539714,37.529744874276616
transit,127.12643248211599,37.5378227259795
transit,127.12759810028365,37.54590055510202
transit,127.12876397002731,37.553978361637625
transit,127.12993009147425,37.5620561455797
transit,127.13109646475178,37.57013390692162
transit,127.13226308998733,37.578211645656786
transit,127.1334299673084,37.5862893617786
transit,127.13459709684253,37.59436705528044
transit,127.13576447871735,37.602444726155696
transit,127.13693211306057,37.61052237439777
WP4,127.1381,37.6186
transit,127.14364453767999,37.625276476825675
transit,127.1491900672499,37.63195268550096
transit,127.15473658908718,37.638628625916944
transit,127.16028410356938,37.645304297964664
transit,127.16583261107426,37.651979701535154
transit,127.17138211197964,37.658654836519354
transit,127.17693260666354,37.66532970280818
transit,127.18248409550407,37.67200430029247
transit,127.1880365788795,37.67867862886307
transit,127.19359005716825,37.68535268841071
transit,127.19914453074885,37.692026478826136
WP5,127.2047,37.6987
transit,127.21343162856657,37.69498506001787
transit,127.22216238580884,37.69126947121904
transit,127.23089227177877,37.68755323375334
transit,127.23962128652845,37.68383634777065
transit,127.24834943011,37.68011881342078
transit,127.25707670257566,37.67640063085357
transit,127.26580310397777,37.67268180021881
transit,127.27452863436872,37.668962321666314
transit,127.28325329380102,37.66524219534583
transit,127.29197708232722,37.661521421407144
WP6,127.3007,37.6578
transit,127.29453584893454,37.651393473860075
transit,127.28837275688147,37.64498661870998
transit,127.28221072346766,37.63857943467867
transit,127.27604974832009,37.63217192189511
transit,127.26988983106587,37.62576408048816
transit,127.2637309713322,37.61935591058667
transit,127.2575731687464,37.6129474123194
transit,127.25141642293593,37.60653858581509
transit,127.24526073352834,37.6001294312024
transit,127.23910610015128,37.59371994860995
transit,127.23295252243254,37.587310138166316
WP7,127.2268,37.5809
transit,127.21638252952877,37.58155732946605
transit,127.2059648760039,37.58221373949572
transit,127.19554703967407,37.582869230051394
transit,127.18512902078798,37.583523801095545
transit,127.1747108195944,37.58417745259067
transit,127.16429243634211,37.58483018449934
transit,127.15387387127997,37.58548199678414
transit,127.14345512465685,37.58613288940776
transit,127.13303619672169,37.586782862332875
transit,127.12261708772343,37.587431915522274
transit,127.1121977979111,37.58808004893876
transit,127.10177832753372,37.58872726254518
transit,127.09135867684041,37.58937355630448
transit,127.0809388460803,37.590018930179596
transit,127.07051883550254,37.59066338413358
transit,127.06009864535636,37.59130691812946
transit,127.049678275891,37.591949532130364
transit,127.03925772735576,37.59259122609948
WP8,127.028837,37.593232
transit,127.01935000915947,37.59035223573776
transit,127.00986374945408,37.587471707613254
transit,127.00037822094507,37.584590415763365
