city,utc_adjust
bangkok,7
waypoint,lon,lat
U_Tapao,101.005,12.67983303
transit,100.99748524729382,12.68476491304953
transit,100.98997020525702,12.689696581764105
transit,100.98245487377469,12.694628036049753
transit,100.97493925273196,12.69955927581249
transit,100.96742334201394,12.704490300958334
transit,100.95990714150577,12.70942111139328
transit,100.95239065109256,12.714351707023324
transit,100.94487387065945,12.719282087754447
transit,100.93735680009158,12.724212253492627
transit,100.92983943927409,12.729142204143825
transit,100.92232178809209,12.734071939614005
transit,100.91480384643079,12.739001459809106
transit,100.90728561417528,12.74393076463507
transit,100.89976709121075,12.74885985399783
transit,100.89224827742235,12.7537887278033
transit,100.88472917269523,12.758717385957395
transit,100.87720977691457,12.763645828366014
transit,100.86969008996553,12.768574054935053
transit,100.86217011173328,12.773502065570394
transit,100.854649842103,12.778429860177916
transit,100.84712928095988,12.783357438663474
transit,100.83960842818908,12.78828480093294
transit,100.83208728367582,12.793211946892148
transit,100.82456584730528,12.798138876446945
transit,100.81704411896264,12.803065589503156
transit,100.80952209853311,12.8079920859666
transit,100.8019997859019,12.812918365743093
transit,100.7944771809542,12.817844428738434
transit,100.78695428357524,12.822770274858414
transit,100.77943109365023,12.827695904008822
transit,100.77190761106438,12.832621316095427
transit,100.76438383570292,12.837546511023998
transit,100.75685976745106,12.842471488700294
transit,100.74933540619405,12.847396249030055
transit,100.74181075181711,12.852320791919025
transit,100.7342858042055,12.857245117272932
transit,100.72676056324444,12.862169224997492
transit,100.71923502881916,12.867093114998422
transit,100.71170920081495,12.872016787181416
transit,100.70418307911703,12.876940241452175
transit,100.69665666361068,12.881863477716378
transit,100.68912995418114,12.886786495879695
transit,100.6816029507137,12.891709295847798
transit,100.67407565309361,12.89663187752634
transit,100.66654806120613,12.90155424082097
transit,100.65902017493657,12.906476385637317
transit,100.65149199417019,12.91139831188102
transit,100.64396351879226,12.91632001945769
transit,100.63643474868809,12.921241508272947
transit,100.62890568374299,12.926162778232381
transit,100.62137632384221,12.931083829241587
transit,100.61384666887108,12.936004661206152
transit,100.6063167187149,12.940925274031644
transit,100.59878647325895,12.945845667623628
transit,100.59125593238859,12.950765841887659
transit,100.58372509598912,12.955685796729286
transit,100.57619396394584,12.960605532054041
transit,100.56866253614409,12.965525047767454
transit,100.56113081246917,12.970444343775045
transit,100.55359879280647,12.975363419982312
transit,100.54606647704126,12.98028227629477
transit,100.53853386505892,12.985200912617898
transit,100.5310009567448,12.990119328857183
transit,100.52346775198421,12.995037524918098
transit,100.51593425066253,12.9999555007061
transit,100.50840045266511,13.004873256126647
transit,100.50086635787731,13.009790791085182
transit,100.49333196618448,13.01470810548714
transit,100.48579727747202,13.019625199237947
transit,100.47826229162526,13.02454207224302
transit,100.47072700852961,13.029458724407766
transit,100.46319142807043,13.034375155637582
transit,100.4556555501331,13.039291365837858
transit,100.44811937460304,13.044207354913977
transit,100.4405829013656,13.049123122771306
transit,100.43304613030621,13.054038669315206
transit,100.42550906131025,13.05895399445103
transit,100.41797169426313,13.063869098084117
transit,100.41043402905026,13.068783980119807
transit,100.40289606555706,13.073698640463418
transit,100.39535780366893,13.078613079020267
transit,100.3878192432713,13.08352729569566
transit,100.38028038424959,13.088441290394893
transit,100.37274122648923,13.093355063023258
transit,100.36520176987565,13.09826861348602
transit,100.3576620142943,13.103181941688465
transit,100.35012195963061,13.108095047535835
transit,100.34258160577004,13.11300793093339
transit,100.33504095259802,13.117920591786367
