city,utc_adjust
Manila,8
waypoint,lon,lat
RPLC,120.556,15.18200003
transit,120.56232759211345,15.175791398462003
transit,120.568654814593,15.169582585856645
transit,120.5749816676081,15.16337359227141
transit,120.58130815132822,15.157164417793794
transit,120.5876342659228,15.150955062511267
transit,120.59396001156126,15.14474552651128
transit,120.60028538841301,15.138535809881272
transit,120.60661039664744,15.132325912708675
transit,120.61293503643391,15.126115835080892
transit,120.6192593079418,15.11990557708532
transit,120.62558321134041,15.113695138809339
transit,120.63190674679909,15.107484520340309
transit,120.63822991448711,15.10127372176558
transit,120.64455271457378,15.095062743172493
transit,120.65087514722836,15.088851584648351
transit,120.65719721262009,15.082640246280466
transit,120.6635189109182,15.076428728156124
transit,120.66984024229191,15.070217030362606
transit,120.67616120691042,15.064005152987152
transit,120.6824818049429,15.057793096117013
transit,120.68880203655851,15.051580859839419
transit,120.6951219019264,15.045368444241577
transit,120.70144140121567,15.03915584941069
transit,120.70776053459548,15.03294307543393
transit,120.71407930223488,15.026730122398469
transit,120.72039770430295,15.020516990391458
transit,120.72671574096876,15.014303679500028
transit,120.73303341240134,15.008090189811307
transit,120.7393507187697,15.001876521412399
transit,120.74566766024286,14.99566267439039
transit,120.75198423698978,14.989448648832358
transit,120.75830044917947,14.983234444825364
transit,120.76461629698086,14.977020062456457
transit,120.77093178056288,14.970805501812661
transit,120.77724690009445,14.964590762980993
transit,120.78356165574446,14.958375846048451
transit,120.78987604768182,14.95216075110203
transit,120.79619007607536,14.94594547822869
transit,120.80250374109394,14.939730027515386
transit,120.8088170429064,14.933514399049061
transit,120.81512998168154,14.927298592916644
transit,120.82144255758816,14.921082609205031
transit,120.82775477079502,14.914866448001135
transit,120.83406662147091,14.908650109391827
transit,120.84037810978455,14.90243359346397
transit,120.84668923590468,14.896216900304411
RPUX,120.853,14.89000003
transit,120.85979782446294,14.884600564854255
transit,120.86659531051718,14.879200895697487
transit,120.87339245829533,14.873801022616716
transit,120.88018926793,14.868400945698953
transit,120.88698573955382,14.863000665031208
transit,120.89378187329942,14.857600180700459
transit,120.90057766929938,14.852199492793686
transit,120.90737312768633,14.846798601397856
transit,120.91416824859287,14.841397506599918
transit,120.92096303215158,14.835996208486819
transit,120.92775747849507,14.830594707145481
transit,120.9345515877559,14.825193002662823
transit,120.94134536006668,14.819791095125751
transit,120.94813879555998,14.814388984621152
transit,120.95493189436837,14.808986671235916
transit,120.96172465662443,14.803584155056903
transit,120.96851708246069,14.798181436170978
transit,120.97530917200974,14.792778514664978
transit,120.98210092540413,14.78737539062574
transit,120.9888923427764,14.781972064140092
transit,120.9956834242591,14.776568535294828
transit,121.00247416998477,14.771164804176754
transit,121.00926458008594,14.765760870872654
transit,121.01605465469515,14.760356735469305
transit,121.02284439394494,14.754952398053465
transit,121.02963379796779,14.749547858711882
transit,121.03642286689625,14.744143117531296
transit,121.0432116008628,14.738738174598431
TP1,121.05,14.73333303
transit,121.051095723919,14.72546409823825
transit,121.05219136923515,14.717595155954921
transit,121.05328693599787,14.709726203155862
transit,121.05438242425664,14.701857239846916
transit,121.05547783406094,14.693988266033939
transit,121.05657316546016,14.686119281722771
transit,121.05766841850375,14.678250286919257
transit,121.05876359324112,14.670381281629242
transit,121.05985868972166,14.662512265858577
transit,121.06095370799477,14.654643239613106
transit,121.0620486481098,14.646774202898664
transit,121.0631435101161,14.63890515572111
transit,121.06423829406307,14.631036098086266
MAO1,121.065333,14.62316703
transit,121.06905300826244,14.614962521959232
transit,121.07277274046876,14.606757948816796
transit,121.07649219679926,14.598553310614683
transit,121.08021137743422,14.590348607394908
transit,121.08393028255385,14.582143839199444
transit,121.08764891233832,14.573939006070276
transit,121.09136726696777,14.56573410804936
transit,121.09508534662227,14.557529145178671
transit,121.09880315148189,14.549324117500145
transit,121.1025206817266,14.54111902505572
transit,121.10623793753639,14.532913867887324
transit,121.10995491909114,14.524708646036885
transit,121.11367162657073,14.516503359546299
transit,121.117388060155,14.50829800845748
transit,121.1211042200237,14.500092592812312
transit,121.12482010635657,14.491887112652678
transit,121.12853571933333,14.483681568020451
transit,121.13225105913361,14.47547595895749
transit,121.13596612593702,14.467270285505647
transit,121.13968091992312,14.459064547706769
transit,121.14339544127142,14.45085874560269
transit,121.14710969016143,14.442652879235222
transit,121.15082366677254,14.434446948646196
transit,121.15453737128415,14.42624095387741
transit,121.1582508038756,14.418034894970662
transit,121.16196396472623,14.40982877196773
transit,121.16567685401523,14.401622584910404
transit,121.16938947192187,14.393416333840443
transit,121.1731018186253,14.385210018799611
transit,121.17681389430464,14.377003639829647
transit,121.18052569913901,14.368797196972299
transit,121.1842372333074,14.360590690269289
transit,121.18794849698884,14.352384119762348
transit,121.19165949036228,14.344177485493182
transit,121.19537021360664,14.335970787503486
transit,121.19908066690076,14.327764025834961
transit,121.2027908504235,14.319557200529285
transit,121.2065007643536,14.311350311628132
transit,121.21021040886986,14.30314335917317
transit,121.21391978415093,14.294936343206047
transit,121.21762889037547,14.286729263768416
transit,121.2213377277221,14.278522120901911
transit,121.22504629636938,14.270314914648154
transit,121.22875459649586,14.262107645048763
transit,121.23246262827999,14.253900312145355
transit,121.23617039190022,14.245692915979518
transit,121.23987788753494,14.237485456592848
transit,121.24358511536252,14.229277934026925
transit,121.24729207556128,14.221070348323318
transit,121.25099876830944,14.212862699523585
transit,121.25470519378528,14.204654987669288
transit,121.25841135216696,14.196447212801964
transit,121.26211724363262,14.18823937496314
transit,121.26582286836036,14.180031474194358
transit,121.26952822652824,14.171823510537116
transit,121.27323331831425,14.163615484032935
transit,121.2769381438964,14.155407394723298
transit,121.2806427034526,14.147199242649702
transit,121.28434699716074,14.138991027853624
transit,121.28805102519864,14.130782750376532
transit,121.29175478774414,14.122574410259885
transit,121.29545828497497,14.114366007545135
transit,121.29916151706885,14.106157542273722
transit,121.30286448420348,14.097949014487085
transit,121.30656718655646,14.08974042422664
transit,121.3102696243054,14.081531771533802
transit,121.31397179762784,14.073323056449986
transit,121.3176737067013,14.065114279016573
transit,121.32137535170321,14.05690543927496
transit,121.32507673281104,14.048696537266515
transit,121.32877785020213,14.04048757303262
transit,121.33247870405384,14.032278546614624
transit,121.33617929454346,14.02406945805388
transit,121.33987962184824,14.015860307391733
transit,121.34357968614539,14.00765109466951
transit,121.3472794876121,13.999441819928538
transit,121.35097902642548,13.991232483210126
transit,121.35467830276262,13.983023084555578
transit,121.35837731680057,13.9748136240062
transit,121.36207606871633,13.966604101603268
transit,121.36577455868688,13.958394517388063
transit,121.3694727868891,13.950184871401857
transit,121.3731707534999,13.941975163685907
transit,121.37686845869612,13.93376539428146
transit,121.38056590265454,13.92555556322976
transit,121.38426308555191,13.917345670572047
transit,121.38796000756496,13.909135716349532
transit,121.39165666887034,13.900925700603437
transit,121.3953530696447,13.892715623374963
transit,121.39904921006462,13.884505484705315
transit,121.40274509030664,13.876295284635663
transit,121.40644071054727,13.868085023207206
transit,121.41013607096298,13.859874700461098
transit,121.41383117173018,13.851664316438512
transit,121.41752601302527,13.84345387118059
transit,121.42122059502456,13.835243364728482
transit,121.42491491790439,13.827032797123316
transit,121.428608981841,13.818822168406216
transit,121.43230278701058,13.810611478618304
transit,121.43599633358934,13.802400727800679
transit,121.43968962175342,13.794189915994446
transit,121.44338265167887,13.78597904324069
transit,121.44707542354179,13.777768109580496
transit,121.45076793751815,13.769557115054928
transit,121.45446019378396,13.76134605970505
transit,121.45815219251513,13.753134943571922
transit,121.46184393388755,13.744923766696585
transit,121.46553541807705,13.736712529120073
transit,121.46922664525948,13.728501230883413
transit,121.47291761561057,13.720289872027625
transit,121.47660832930606,13.712078452593715
transit,121.48029878652163,13.703866972622688
transit,121.48398898743292,13.695655432155535
transit,121.48767893221556,13.687443831233237
transit,121.49136862104507,13.679232169896766
transit,121.495058054097,13.67102044818709
transit,121.49874723154684,13.662808666145162
transit,121.50243615357,13.654596823811936
transit,121.50612482034191,13.646384921228343
transit,121.50981323203793,13.638172958435316
transit,121.51350138883335,13.629960935473784
transit,121.51718929090346,13.621748852384647
transit,121.52087693842353,13.613536709208814
transit,121.52456433156871,13.60532450598718
transit,121.5282514705142,13.597112242760629
transit,121.5319383554351,13.588899919570041
transit,121.53562498650648,13.580687536456287
transit,121.5393113639034,13.572475093460218
transit,121.54299748780082,13.564262590622697
transit,121.54668335837373,13.55605002798456
transit,121.55036897579704,13.547837405586638
transit,121.55405434024563,13.539624723469759
transit,121.5577394518943,13.531411981674745
transit,121.56142431091791,13.523199180242393
transit,121.56510891749117,13.514986319213511
transit,121.5687932717888,13.506773398628885
transit,121.5724773739855,13.498560418529294
transit,121.57616122425588,13.490347378955521
transit,121.57984482277456,13.482134279948319
transit,121.58352816971609,13.47392112154845
transit,121.58721126525498,13.46570790379666
transit,121.5908941095657,13.457494626733688
transit,121.59457670282269,13.449281290400265
transit,121.59825904520038,13.44106789483711
transit,121.60194113687308,13.432854440084938
transit,121.60562297801513,13.424640926184447
transit,121.60930456880082,13.416427353176337
transit,121.61298590940439,13.408213721101292
TP2,121.616667,13.40000003
transit,121.60885689895416,13.404682816452143
transit,121.60104649558956,13.409365359547875
transit,121.59323578980056,13.414047659190004
transit,121.58542478148156,13.418729715281337
transit,121.57761347052694,13.423411527724678
transit,121.56980185683109,13.42809309642281
transit,121.56198994028843,13.43277442127851
transit,121.55417772079338,13.437455502194558
transit,121.54636519824032,13.442136339073716
transit,121.53855237252374,13.446816931818734
transit,121.53073924353802,13.451497280332362
transit,121.52292581117764,13.456177384517337
transit,121.51511207533704,13.460857244276388
transit,121.50729803591068,13.465536859512236
transit,121.49948369279302,13.470216230127596
transit,121.49166904587854,13.474895356025165
transit,121.48385409506173,13.479574237107645
transit,121.47603884023708,13.484252873277716
transit,121.46822328129907,13.488931264438063
transit,121.46040741814224,13.493609410491347
transit,121.45259125066107,13.498287311340237
transit,121.4447747787501,13.502964966887383
transit,121.43695800230387,13.507642377035422
transit,121.42914092121687,13.512319541687
transit,121.4213235353837,13.516996460744734
transit,121.41350584469889,13.52167313411125
transit,121.40568784905699,13.526349561689152
transit,121.39786954835259,13.531025743381038
transit,121.39005094248026,13.53570167908951
transit,121.38223203133457,13.540377368717143
transit,121.37441281481013,13.545052812166515
transit,121.36659329280154,13.549728009340194
transit,121.35877346520338,13.554402960140738
transit,121.3509533319103,13.559077664470694
transit,121.34313289281691,13.563752122232604
transit,121.33531214781786,13.568426333328995
transit,121.32749109680775,13.573100297662402
transit,121.31966973968126,13.577774015135331
transit,121.31184807633304,13.582447485650288
